Date,رقم القيد,              ,اسم المشروع معدل,اسم المشروع,Type,Amount,Code
1-Sep-22,1822,تسوية عملاء استثمار عقارى - اثبات جزء من الايراد المؤجل لايراد الاستشمار العقارى,كارفور- دارنا ( وحدات مباعه ),كارفور- دارنا ( وحدات مباعه ),الاستثمار,34825,7001
1-Sep-22,1822,تسوية عملاء استثمار عقارى - اثبات جزء من الايراد المؤجل لايراد الاستشمار العقارى, الشمس 70 ( وحدات مباعه ), الشمس 70 ( وحدات مباعه ),الاستثمار,609,7004
1-Sep-22,1822,تسوية عملاء استثمار عقارى - اثبات جزء من الايراد المؤجل لايراد الاستشمار العقارى,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار,62202,7003
1-Sep-22,1822,تسوية عملاء استثمار عقارى - اثبات جزء من الايراد المؤجل لايراد الاستشمار العقارى,جراج عمارة 14 دارنا ( وحدات مباعه ),جراج عمارة 14 دارنا ( وحدات مباعه ),الاستثمار,4158,7006
1-Sep-22,1822,تسوية عملاء استثمار عقارى - اثبات جزء من الايراد المؤجل لايراد الاستشمار العقارى,رووف العبور ( وحدات مباعه ),رووف العبور ( وحدات مباعه ),الاستثمار,774,7008
1-Sep-22,1827,تسوية عملاء استثمار عقارى - اثبات الغاء وحده مباعه نتيجه فسخ عقد الوحده,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار,-2906050,7003
1-Sep-22,2100,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه سبتمبر,مركز شرطه الاحوال المدنيه,مركز شرطه الاحوال المدنيه,المقاولات,1623071,4146
1-Sep-22,2100,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه سبتمبر,مركز شرطه ابوتيج,مركز شرطه ابوتيج,المقاولات,12146538,4136
1-Sep-22,2100,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه سبتمبر,مركز شرطه النخيله,مركز شرطه النخيله,المقاولات,4874330,4148
1-Sep-22,2100,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه سبتمبر,مركز شرطه الرمادى,مركز شرطه الرمادى,المقاولات,7368391.81,4138
1-Sep-22,2100,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه سبتمبر,مركز شرطه القناطر,مركز شرطه القناطر,المقاولات,7640178.74,4142
1-Sep-22,2100,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه سبتمبر,مركز شرطه كلابشه,مركز شرطه كلابشه,المقاولات,7635364.7,4140
1-Sep-22,2100,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه سبتمبر,مركز شرطه الرديسه,مركز شرطه الرديسه,المقاولات,7272596.21,4137
1-Sep-22,2100,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه سبتمبر,مركز شرطه البوصيليه,مركز شرطه البوصيليه,المقاولات,7162581.62,4141
1-Sep-22,2100,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه سبتمبر,مركز شرطه المطاعنه,مركز شرطه المطاعنه,المقاولات,9730415.48,4139
1-Sep-22,2112,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه سبتمبر,سجن سوهاج المطور,سجن سوهاج المطور,المقاولات,114833506.7,4126
1-Sep-22,2113,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات ميزانيه سبتمبر,مديريه امن اسيوط,مديريه امن اسيوط,المقاولات,83145966.92,4121
1-Sep-22,2114,تسوية عملاء مقاولات يونيه 2022 - تسوية مستخلصات 26 و 27 بعد الصرف وتسوية مستخلصات ,العاصمه الادرايه,العاصمه الادرايه,المقاولات,2803873.36,4058
