Revenues . 2019,,,,,,,,,,,,,,,,,,,,
,,,,كهرب,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,
Date,رقم القيد,التوصيف,اسم المشروع معدل,اسم المشروع,Type,مبلغ القيد,Code,,,,,,,,,,,,,
01-Mar-2021,0,ايراد السعوديه - خلال الربع الاول 2021,عملية سارى - مقاولات,عملية سارى - مقاولات,تكاليف السعوديه,"15,036,008.00 ",8001,,,,,,,,,,,0,الاسمرات,
01-Mar-2021,404,مبيعات خرسانه الجيزه,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"66,000.00 ",3001,,,,,,,,,,,0,نقل مخالفات الاسمرات,
01-Mar-2021,405,مبيعات خرسانه الميدان,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"20,526.32 ",3001,,,,,,,,,,,0,2برج الفسطاط,
01-Mar-2021,406,مبيعات خرسانه بنادر,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"27,368.42 ",3001,,,,,,,,,,,0,25ن الفسطاط,
01-Mar-2021,407,مبيعات خرسانه القاهره,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"356,754.39 ",3001,,,,,,,,,,,0,10 ع الفسطاط,
01-Mar-2021,408,مبيعات خرسانه سكوير,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"32,763.16 ",3001,,,,,,,,,,,0,4 ع الفسطاط,
01-Mar-2021,409,مبيعات خرسانه امير احمد,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"15,736.84 ",3001,,,,,,,,,,,0,30ع جاردينا,
01-Mar-2021,420,النيل للخرسانه,المخزن,المخزن,مخزن الاسمنت,"899,052.63 ",9001,,,,,,,,,,,0,مول غرب الشروق,
01-Mar-2021,1272,تسوية عملاء مقاولات - تسوية مستخلصات ميزانيه 31/3/2021,الاسماعيليه الجديده,7ع الحى الخامس 173م - الاسماعيليه ,المقاولات,"66,070.48 ",4066,,,,,,,,,,,0,2برج الندى,
01-Mar-2021,1272,تسوية عملاء مقاولات - تسوية مستخلصات ميزانيه 31/3/2021,الاسماعيليه الجديده,4ع الحى الثانى 160م - الاسماعيليه ,المقاولات,"24,872.86 ",4068,,,,,,,,,,,0,الاسماعيليه الجديده,
01-Mar-2021,1272,تسوية عملاء مقاولات - تسوية مستخلصات ميزانيه 31/3/2021,الاسماعيليه الجديده,8ع الحى الثانى 173م - الاسماعيليه ,المقاولات,"1,424,767.62 ",4065,,,,,,,,,,,0,كليه رياض اطفال,
01-Mar-2021,1272,تسوية عملاء مقاولات - تسوية مستخلصات ميزانيه 31/3/2021,الاسماعيليه الجديده,20ع الحى الثانى 160م - الاسماعيليه ,المقاولات,"1,341,049.05 ",4067,,,,,,,,,,,0,المجزر الى,
01-Mar-2021,1272,تسوية عملاء مقاولات - تسوية مستخلصات ميزانيه 31/3/2021,الاسماعيليه الجديده,2ع الحى الثانى 160م - الاسماعيليه ,المقاولات,203.81 ,4069,,,,,,,,,,,0,59 فيلا,
01-Mar-2021,1272,تسوية عملاء مقاولات - تسوية مستخلصات ميزانيه 31/3/2021,الاسماعيليه الجديده,4ع الحى الرابع 173م - الاسماعيليه ,المقاولات,"21,240.00 ",4070,,,,,,,,,,,0,21فيلا برج العرب,
01-Mar-2021,1272,تسوية عملاء مقاولات - تسوية مستخلصات ميزانيه 31/3/2021,الاسماعيليه الجديده,4ع الحى الرابع 173م - الاسماعيليه ,المقاولات,"4,628.57 ",4070,,,,,,,,,,,0,10ع هيلوبوليس,
01-Mar-2021,1273,تسوية عملاء مقاولات - تسوية مستخلصات ميزانيه 31/3/2021,كهرباء مول غرب الشروق,كهرباء مول غرب الشروق,المقاولات,"4,972,482.38 ",4073,,,,,,,,,,,0,14 عماره المتحده,
01-Mar-2021,1274,تسوية عملاء مقاولات - تسوية مستخلصات ميزانيه 31/3/2021,كوبري تقاطع ترسا مع المريوطية - اللبيني ,كوبري تقاطع ترسا مع المريوطية - اللبيني ,المقاولات,"96,541,184.80 ",4098,,,,,,,,,,,0,20 ع التل الكيبر,
01-Mar-2021,1275,تسوية عملاء مقاولات - تسوية مستخلصات ميزانيه 31/3/2021,معسكر امن قنا,معسكر امن قنا,المقاولات,"29,523,809.50 ",4096,,,,,,,,,,,0,10ابو عطوه,
01-Mar-2021,1276,تسوية عملاء مقاولات - تسوية مستخلصات ميزانيه 31/3/2021,مديريه امن الأقصر,مديريه امن الأقصر,المقاولات,"31,133,547.60 ",4101,,,,,,,,,,,0,6 القنطره شرق,
01-Mar-2021,1277,تسوية عملاء مقاولات - تسوية مستخلصات ميزانيه 31/3/2021,مول ستون ستريت,مول ستون ستريت,المقاولات,"11,641,303.40 ",4075,,,,,,,,,,,0,8 فايد,
01-Mar-2021,1278,تسوية عملاء مقاولات - تسوية مستخلصات ميزانيه 31/3/2021,تشطيبات مول غرب الشروق,تشطيبات مول غرب الشروق,المقاولات,"3,445,343.90 ",4062,,,,,,,,,,,0,نزهه العبور,
01-Mar-2021,1280,تسوية عملاء مقاولات - تسوية مستخلصات ميزانيه 31/3/2021,دار الايتام بالعبور,دار الايتام بالعبور,المقاولات,"150,000.00 ",4102,,,,,,,,,,,0,مصارف زفتى الاولى,
01-Mar-2021,1281,تسوية عملاء مقاولات - تسوية مستخلصات ميزانيه 31/3/2021,مبنى خدمات الفحص الفني - بورسعيد,مبنى خدمات الفحص الفني - بورسعيد,المقاولات,"25,968,228.40 ",4079,,,,,,,,,,,0,مصارف الحصه الثانيه,
01-Mar-2021,1282,تسوية عملاء مقاولات - تسوية مستخلصات ميزانيه 31/3/2021,منافذ امان,منافذ امان,المقاولات,"1,236,190.50 ",4090,,,,,,,,,,,0,محطه مياه اقريه,
01-Mar-2021,1283,تسوية عملاء مقاولات - تسوية مستخلصات ميزانيه 31/3/2021,57ع. رؤية,57ع. رؤية,المقاولات,"12,373,243.50 ",4023,,,,,,,,,,,0,محطه مياه قسيمه,
01-Mar-2021,1284,تسوية عملاء مقاولات - تسوية مستخلصات ميزانيه 31/3/2021,العاصمه الادرايه,العاصمه الادرايه,المقاولات,"25,602,197.90 ",4058,,,,,,,,,,,0,15بنك التعمير,
01-Mar-2021,1285,تسوية عملاء مقاولات - تسوية مستخلصات ميزانيه 31/3/2021,22عمارة القاهرة,22عمارة القاهرة,المقاولات,"5,212,026.50 ",4082,,,,,,,,,,,0,مصارف ابيار الثانيه ب,
01-Mar-2021,1287,تسوية عملاء مقاولات - تسوية مستخلصات ميزانيه 31/3/2021,رصف طرق كباري الاسماعيليه,رصف طرق كباري الاسماعيليه,المقاولات,"7,654,384.84 ",4095,,,,,,,,,,,0,محطة الريسه,
01-Mar-2021,1682,تسوية عملاء استثمار عقارى - اثبات تحويل جزء من الايراد المؤجل الى ايراد الاستثمار,كارفور- دارنا ( وحدات مباعه ),كارفور- دارنا ( وحدات مباعه ),الاستثمار,"167,361.00 ",7001,,,,,,,,,,,0,مصارف البكاتوش,
01-Mar-2021,1682,تسوية عملاء استثمار عقارى - اثبات تحويل جزء من الايراد المؤجل الى ايراد الاستثمار, الشمس 70 ( وحدات مباعه ), الشمس 70 ( وحدات مباعه ),الاستثمار,"48,436.00 ",7004,,,,,,,,,,,0,العاصمه الادرايه,
01-Mar-2021,1682,تسوية عملاء استثمار عقارى - اثبات تحويل جزء من الايراد المؤجل الى ايراد الاستثمار,الريهام ( وحدات مباعه ),الريهام ( وحدات مباعه ),الاستثمار,"1,439.00 ",7005,,,,,,,,,,,0,صرف الاسمرات,
01-Mar-2021,1682,تسوية عملاء استثمار عقارى - اثبات تحويل جزء من الايراد المؤجل الى ايراد الاستثمار,نزهة العبور ( وحدات مباعه ),نزهة العبور ( وحدات مباعه ),الاستثمار,"15,677.00 ",7007,,,,,,,,,,,0,كوبرى القنطرة غرب - اسماعيليه,
01-Mar-2021,1682,تسوية عملاء استثمار عقارى - اثبات تحويل جزء من الايراد المؤجل الى ايراد الاستثمار,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار,"109,121.00 ",7003,,,,,,,,,,,0,تشطيبات مول غرب الشروق,
01-Mar-2021,1682,تسوية عملاء استثمار عقارى - اثبات تحويل جزء من الايراد المؤجل الى ايراد الاستثمار,جراج عمارة 14 دارنا ( وحدات مباعه ),جراج عمارة 14 دارنا ( وحدات مباعه ),الاستثمار,"4,158.00 ",7006,,,,,,,,,,,0,10فيلات الرابع - الاسماعيليه ,
01-Mar-2021,1682,تسوية عملاء استثمار عقارى - اثبات تحويل جزء من الايراد المؤجل الى ايراد الاستثمار,كارفور- دارنا ( وحدات مباعه ),كارفور- دارنا ( وحدات مباعه ),الاستثمار,"44,366.00 ",7001,,,,,,,,,,,0,9فيلات الخامس - الاسماعيليه ,
01-Mar-2021,1683,تسوية عملاء استثمار عقارى - ملحق عقد بالزياده فى قيمه الوحده,نزهة العبور ( وحدات مباعه ),نزهة العبور ( وحدات مباعه ),الاستثمار,"193,000.00 ",7007,,,,,,,,,,,0,8ع الحى الثانى 173م - الاسماعيليه ,
01-Mar-2021,1684,تسوية عملاء استثمار عقارى - الغاء وحده مباعه بالمشروع,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار,"(953,830.00)",7003,,,,,,,,,,,0,7ع الحى الخامس 173م - الاسماعيليه ,
01-Mar-2021,1690,تسوية عملاء استثمار عقارى - اثبات خصم تعجيل السداد الممنوح للعملاء,كارفور- دارنا ( وحدات مباعه ),كارفور- دارنا ( وحدات مباعه ),الاستثمار,(495.00),7001,,,,,,,,,,,0,20ع الحى الثانى 160م - الاسماعيليه ,
01-Mar-2021,1690,تسوية عملاء استثمار عقارى - اثبات خصم تعجيل السداد الممنوح للعملاء,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار,"(30,312.00)",7003,,,,,,,,,,,0,4ع الحى الثانى 160م - الاسماعيليه ,
01-Mar-2021,1691,تسوية عملاء استثمار عقارى - اثبات خصم تعجيل السداد الممنوح للعملاء,كارفور- دارنا ( وحدات مباعه ),كارفور- دارنا ( وحدات مباعه ),الاستثمار,(500.00),7001,,,,,,,,,,,0,2ع الحى الثانى 160م - الاسماعيليه ,
01-Mar-2021,2071,مبيعات الخرسانة - الجيزة,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"68,666.67 ",3001,,,,,,,,,,,0,4ع الحى الرابع 173م - الاسماعيليه ,
01-Mar-2021,2072,مبيعات الخرسانة - نحو,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"56,991.23 ",3001,,,,,,,,,,,0,11ع الحى الرابع 160م - الاسماعيليه ,
01-Mar-2021,2073,مبيعات الخرسانة - هاي ايجي,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"83,131.58 ",3001,,,,,,,,,,,0,3ع الحى الرابع 160م - الاسماعيليه ,
01-Mar-2021,2074,مبيعات الخرسانة - بنادر,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"145,991.23 ",3001,,,,,,,,,,,1,كهرباء مول غرب الشروق,
01-Mar-2021,2075,مبيعات الخرسانة - القاهرة,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"12,807.02 ",3001,,,,,,,,,,,0,كوبرى القنطرة الجنوبى - بور سعيد,
01-Mar-2021,2076,مبيعات الخرسانة - دي سي أي,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"37,140.35 ",3001,,,,,,,,,,,0,مول ستون ستريت,
01-Mar-2021,2077,مبيعات الاسمنت - النيل,المخزن,المخزن,مخزن الاسمنت,"3,043,984.74 ",9001,,,,,,,,,,,0,كوبرى الكابلات - عمر المختار,
01-Mar-2021,2226,تسوية عملاء استثمار عقارى - اثبات مبيعات وحدات ستون,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار,"10,348,773.00 ",7003,,,,,,,,,,,0,,
01-Mar-2021,2228,تسوية عملاء استثمار عقارى - اثبات جزء من الايراد المؤجل الى ايراد الاستثمار,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار,"356,552.00 ",7003,,,,,,,,,,,0,الايجار التمويلي,
01-Apr-2021,323,النيل للخرسانه الجاهزه,المخزن,المخزن,مخزن الاسمنت,"2,355,652.37 ",9001,,,,,,,,,,,0,#REF!,
01-Apr-2021,887,مبيعات خرسانه الجيزه,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"30,000.00 ",3001,,,,,,,,,,,0,#REF!,
01-Apr-2021,888,مبيعات خرسانه القاهره,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"139,719.30 ",3001,,,,,,,,,,,0,#REF!,
01-Apr-2021,889,مبيعات خرسانه الجيزه,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"207,421.05 ",3001,,,,,,,,,,,0,,
01-Apr-2021,890,مبيعات خرسانه الميدان,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"13,508.77 ",3001,,,,,,,,,,,0,الاستثمار,
01-Apr-2021,891,مبيعات خرسانه بنادر,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"12,736.84 ",3001,,,,,,,,,,,0,كارفور- دارنا ( وحدات مباعه ),
01-Apr-2021,892,مبيعات خرسانه القاهره,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"390,692.98 ",3001,,,,,,,,,,,0,المبنى الادارى -مدينه نصر ( وحدات مباعه ),
01-Apr-2021,893,مبيعات خرسانه القاهره,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"355,087.72 ",3001,,,,,,,,,,,0,رؤية ( وحدات مباعه ),
01-Apr-2021,894,مبيعات خرسانه الجيزه,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"24,833.33 ",3001,,,,,,,,,,,0, الشمس 70 ( وحدات مباعه ),
01-Apr-2021,895,مبيعات خرسانه  محمود السيد,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"16,776.32 ",3001,,,,,,,,,,,0,الريهام ( وحدات مباعه ),
01-Apr-2021,896,مبيعات خرسانه  امير,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"27,605.26 ",3001,,,,,,,,,,,0,جراج عمارة 14 دارنا ( وحدات مباعه ),
01-May-2021,1160,مبيعات خرسانه اسكوير,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"26,776.32 ",3001,,,,,,,,,,,0,#REF!,
01-May-2021,1436,مبيعات الخرسانة - الجيزة,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"35,942.98 ",3001,,,,,,,,,,,0,#REF!,
01-May-2021,1437,مبيعات الخرسانة - بنادر,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"20,842.11 ",3001,,,,,,,,,,,0,#REF!,
01-May-2021,1441,مبيعات الاسمنت - النيل,المخزن,المخزن,مخزن الاسمنت,"1,206,807.02 ",9001,,,,,,,,,,,,,
01-Jun-2021,0,ايراد السعوديه - خلال الربع الثانى 2021,عملية سارى - مقاولات,عملية سارى - مقاولات,تكاليف السعوديه,"10,865,961.08 ",8001,,,,,,,,,,,,,
01-Jun-2021,1724,تسوية عملاء استثمار عقارى اثبات مبيعات وحدات بمشروع ستون ريزيدن تم تسليمها للعملاء  فى 30/6/2021,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار,"28,436,390.00 ",7003,,,,,,,,,,,,,
01-Jun-2021,1725,تسوية عملاء استثمار عقارى اثبات مبيعات وحدات بمشروع مول دارنا  1/4/2021,كارفور- دارنا ( وحدات مباعه ),كارفور- دارنا ( وحدات مباعه ),الاستثمار,"1,000,000.00 ",7001,,,,,,,,,,,,,
01-Jun-2021,1726,تسوية عملاء استثمار عقارى اثبات مبيعات وحدة استثمار عقارى بمشروع دارنا,كارفور- دارنا ( وحدات مباعه ),كارفور- دارنا ( وحدات مباعه ),الاستثمار,"642,323.00 ",7001,,,,,,,,,,,,,
01-Jun-2021,1727,تسوية عملاء استثمار عقارى اثبات مبيعات وحدة استثمار عقارى بمشروع دارنا,رووف العبور ( وحدات مباعه ),رووف العبور ( وحدات مباعه ),الاستثمار,"253,873.00 ",7008,,,,,,,,,,,,,
01-Jun-2021,1728,تسوية عملاء استثمار عقارى اثبات مبيعات وحده رقم 1 عمارة 17,رووف العبور ( وحدات مباعه ),رووف العبور ( وحدات مباعه ),الاستثمار,"230,400.00 ",7008,,,,,,,,,,,,,
01-Jun-2021,1729,تسوية عملاء استثمار عقارى اثبات تحويل جزء من الايراد المؤجل للايراد,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار,"1,128,614.00 ",7003,,,,,,,,,,,,,
