Date,رقم القيد,              ,اسم المشروع معدل,اسم المشروع,Type,Amount,Code
6/1/2023,2250,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلص الختامى بعد الصرف,17ع. اكتوبر,17ع. اكتوبر,المقاولات,106199.34,4006
6/1/2023,2251,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,العاصمه الادرايه,العاصمه الادرايه,المقاولات,2092957.21,4058
6/1/2023,2252,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,ستون بارك,ستون بارك,المقاولات,16996033.31,4118
6/1/2023,2253,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,مديريه امن الأقصر,مديريه امن الأقصر,المقاولات,14390954.21,4101
6/1/2023,2254,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,ستون بارك - فيلات,ستون بارك - فيلات,المقاولات,8121176.5,4152
6/1/2023,2255,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,مديريه امن اسيوط,مديريه امن اسيوط,المقاولات,22485371.8,4121
6/1/2023,2256,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,كوبرى المعادى,كوبرى المعادى,المقاولات,5069174.48,4167
6/1/2023,2839,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,معالجة فواصل كبارى محور 26 يوليو,معالجة فواصل كبارى محور 26 يوليو,المقاولات,1907241.83,4165
6/1/2023,2881,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,مصنع المصرية الألمانية لصناعة المكرونة,مصنع المصرية الألمانية لصناعة المكرونة,المقاولات,3679692.91,4129
9/1/2023,2312,تسوية عملاء استثمار عقارى خلال الربع الثالث - اثبات ايراد مبيعات استثمار عقارى لوحدات مباعه وتم تسليمها,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار العقارى,57986484,7003
9/1/2023,2313,تسوية عملاء استثمار عقارى خلال الربع الثالث - اثبات ايراد وتكاليف وحدات مسلمه للعملاء ,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار العقارى,2519500,7003
9/1/2023,2314,تسوية عملاء استثمار عقارى خلال الربع الثالث - اثبات تحويل جزء من الايراد المؤجل لايراد الاستثمار العقارى,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار العقارى,1346799,7003
9/1/2023,2315,تسوية عملاء استثمار عقارى خلال الربع الثالث - اثبات تحويل جزء من الايراد المؤجل لايراد الاستثمار العقارى,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار العقارى,325214,7003
9/1/2023,2316,تسوية عملاء استثمار عقارى خلال الربع الثالث - اثبات تحويل جزء من الايراد المؤجل لايراد الاستثمار العقارى,كارفور- دارنا ( وحدات مباعه ),كارفور- دارنا ( وحدات مباعه ),الاستثمار العقارى,834,7001
9/1/2023,2316,تسوية عملاء استثمار عقارى خلال الربع الثالث - اثبات تحويل جزء من الايراد المؤجل لايراد الاستثمار العقارى,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار العقارى,6035,7003
9/1/2023,2316,تسوية عملاء استثمار عقارى خلال الربع الثالث - اثبات تحويل جزء من الايراد المؤجل لايراد الاستثمار العقارى,رووف العبور ( وحدات مباعه ),رووف العبور ( وحدات مباعه ),الاستثمار العقارى,774,7008
9/1/2023,2418,تسوية عملاء مقاولات الربع الثالث 2023 - تسوية المستخلص الختامى بعد الصرف,كوبرى تقاطع الاسمرات مع محور الشهيد,كوبرى تقاطع الاسمرات مع محور الشهيد,المقاولات,-0.51,4115
9/1/2023,2420,تسوية عملاء مقاولات الربع الثالث 2023 - تسوية مستخلص ميزانيه 30-9-2023,مركز شرطه النخيله,مركز شرطه النخيله,المقاولات,1330921.59,4148
9/1/2023,2422,تسوية عملاء مقاولات الربع الثالث 2023 - تسوية مستخلص ميزانيه 30-9-2023,مستقبل مصر 2 - حفر وتبطين,مستقبل مصر 2 - حفر وتبطين,المقاولات,30566249,4149
9/1/2023,2423,تسوية عملاء مقاولات الربع الثالث 2023 - تسوية مستخلص ميزانيه 30-9-2023,مستقبل مصر 2 - اعمال الطرق والمدقات,مستقبل مصر 2 - اعمال الطرق والمدقات,المقاولات,7862979.6,4175
9/1/2023,2424,تسوية عملاء مقاولات الربع الثالث 2023 - تسوية مستخلص ميزانيه 30-9-2023,نفق رقم 5 إمتداد الساحلي,نفق رقم 5 إمتداد الساحلي,المقاولات,2063911.04,4153
9/1/2023,2425,تسوية عملاء مقاولات الربع الثالث 2023 - تسوية مستخلص ميزانيه 30-9-2023,نفق 26 يوليو,نفق 26 يوليو,المقاولات,3809525,4131
9/1/2023,2426,تسوية عملاء مقاولات الربع الثالث 2023 - تسوية مستخلص ميزانيه 30-9-2023,العاصمه الادرايه,العاصمه الادرايه,المقاولات,613096.94,4058
9/1/2023,2427,تسوية عملاء مقاولات الربع الثالث 2023 - تسوية مستخلص ميزانيه 30-9-2023,كوبرى المعادى,كوبرى المعادى,المقاولات,85783655.05,4167
9/1/2023,2428,تسوية عملاء مقاولات الربع الثالث 2023 - تسوية مستخلص ميزانيه 30-9-2023,مستقبل مصر,مستقبل مصر,المقاولات,84250041.9,4125
9/1/2023,2429,تسوية عملاء مقاولات الربع الثالث 2023 - تسوية مستخلص ميزانيه 30-9-2023,مديريه امن الأقصر,مديريه امن الأقصر,المقاولات,1266609.97,4101
9/1/2023,2430,تسوية عملاء مقاولات الربع الثالث 2023 - تسوية مستخلص ميزانيه 30-9-2023,كوبرى ناهيا,كوبرى ناهيا,المقاولات,236508915.2,4163
9/1/2023,2431,تسوية عملاء مقاولات الربع الثالث 2023 - تسوية مستخلص ميزانيه 30-9-2023,سجن سوهاج المطور,سجن سوهاج المطور,المقاولات,89596153.28,4126
